datum,tag,warengruppe,name,kennz,stud,bed,gast
2013-12-31,Di,HG2,Mensa geschlossen bis 05.01.2014,,0.0,0.0,0.0
2013-12-31,Di,HG1,wir wünschen ein gutes neues Jahr!,,0.0,0.0,0.0
2014-12-22,Mo,B5,Beilagensalat,,0.9,1.1,1.6
2014-12-22,Mo,B2,"Buttererbsen (3,G,I)",V,0.6,0.8,1.3
2014-12-22,Mo,B1,"Champignonreis (3,I)",VG,0.6,0.8,1.3
2014-12-22,Mo,Suppe,"Gemüsecremesuppe (3,A,C,F,G,I,J)",V,0.6,0.8,1.3
2014-12-22,Mo,HG2,"Gemüsefrikadellen mit Kräutersahne (3,A,G,I)",V,1.9,2.7,3.5
2014-12-22,Mo,N1,"Kokos-Sahnepudding (F,G,H)",V,0.7,0.9,1.3
2014-12-22,Mo,HG3,"Maistopf mit Rindfleisch (3,A,C,F,G,I,J)",R,2.2,2.9,3.9
2014-12-22,Mo,N2,"Mousse Schokolade (14,F,G)",V,0.8,1.0,1.4
2014-12-22,Mo,B3,"Röstkartoffeln (A,C,F,G,I,J)",VG,0.7,0.9,1.4
2014-12-22,Mo,HG1,"Schweineschnitzel Chipolla (1,2,A,C,F,G,I,J)",S,1.9,2.7,3.5
2014-12-22,Mo,B4,"Waffelkartoffeln (8,A)",VG,0.7,0.9,1.4
2014-12-23,Di,Suppe,"Backerbsensuppe (3,8,A,C,G,I)",V,0.6,0.8,1.3
2014-12-23,Di,B5,Beilagensalat,,0.9,1.1,1.6
2014-12-23,Di,HG1,Bio Spaghetti italienisch,,1.9,2.7,3.5
2014-12-23,Di,B3,"Broccoli - Blumenkohlgemüse (3,I)",VG,0.6,0.8,1.3
2014-12-23,Di,N2,"Erdbeerjoghurt (F,G,H)",V,0.7,0.9,1.3
2014-12-23,Di,B1,"Gemüsereis (3,I)",VG,0.6,0.8,1.3
2014-12-23,Di,B2,"Kartoffelpüree (3,8,A,C,F,G,I,J)",V,0.6,0.8,1.3
2014-12-23,Di,N1,"Moccapudding (14,E,G,H)",V,0.7,0.9,1.3
2014-12-23,Di,B4,Pommes frites,,0.7,0.9,1.4
2014-12-23,Di,HG2,"Putenhacksteak mit Champignonrahm (A,C,F,G,I,J,L)",G,2.2,2.9,3.9
2014-12-23,Di,HG3,"Schnitzel Wiener Art (3,A,C,F,G,I,J)",S,2.4,3.0,4.1
2014-12-24,Mi,HG1,Frohe Weihnachten,,1.9,2.7,3.5
2018-01-02,Di,N1,Bananenpudding (G),V,0.8,1.0,1.5
2018-01-02,Di,B2,"Butterbohnen (3,G,I)",V,0.8,1.0,1.5
2018-01-02,Di,HG2,"Gemüsepaella mit Bio-Vollkornreis und Walnüssen (3,H,I)","VG,MV",2.8,3.4,4.4
2018-01-02,Di,Suppe,"Karotten-Ingwer-Suppe (3,A,I,AA)",V,0.7,0.9,1.4
2018-01-02,Di,N2,"Kokos Mousse Karibik (1,F,G)",V,1.1,1.4,1.6
2018-01-02,Di,HG3,"Putenschnitzel paniert mit Waffelkartoffeln (8,A,C,I,AA)",G,3.1,3.9,4.6
2018-01-02,Di,B5,"Salat Buffet (1,3,4,5,6,9,16,A,C,G,H,J,L,AA)",V,3.0,3.5,4.2
2018-01-02,Di,B6,"Salat Buffet (1,3,4,5,6,9,16,A,C,G,H,J,L,AA)",V,3.0,3.5,4.2
2018-01-02,Di,B3,"Salatmix I (3)Paprikasalat (3,16)RadischensalatCesar Dressing (3,C,G,J)Essig-Öl Dressing mediteran (3,16)","VG,VG,VGC,V,VG",0.9,1.1,1.6
2018-01-02,Di,B1,Salzkartoffeln (5),VG,0.7,0.9,1.4
2018-01-02,Di,HG1,"Spaghetti Carbonara (2,3,8,A,C,G,I,AA)",,2.0,2.8,3.6
2018-01-02,Di,B4,"Waffelkartoffeln (8,A,I,AA)",VG,1.0,1.1,1.6
2018-01-03,Mi,N1,Himbeerpudding (G),V,0.8,1.0,1.5
2018-01-03,Mi,HG2,"Hähnchenkeule mit Tomaten-Paprikasauce und Risi-Bisi (3,A,I,AA)",G,2.0,2.8,3.6
2018-01-03,Mi,B1,"Reis Risi Bisi (3,I)",VG,0.7,0.9,1.4
2018-01-03,Mi,Suppe,"Rinderbrühe mit Grießnockerl (3,A,C,I,AA)",R,0.7,0.9,1.4
2018-01-03,Mi,HG3,"Rosmarinkartoffel mit gebr. Gemüse u. Dip (2,3,F)",VG,2.8,3.4,4.4
2018-01-03,Mi,B5,"Salat Buffet (1,3,4,5,6,9,16,A,C,G,H,J,L,AA)",V,3.0,3.5,4.2
2018-01-03,Mi,B3,"Salatmix II (3)Isartaler Salat (3,16)Karottenrohkost (3)American Dressing (3,9,16,C,G,J)Essig-Öl Dressing mediteran (3,16)","VG,VG,V,V,VG",0.9,1.1,1.6
2018-01-03,Mi,N2,"Schokoquark (F,G)",V,0.8,1.0,1.5
2018-01-03,Mi,B2,"Schwarzwurzelgemüse (3,A,G,I,AA)",V,0.8,1.0,1.5
2018-01-03,Mi,B4,"Twister (8,A,AA)",VG,1.0,1.1,1.6
2018-01-03,Mi,HG1,"XXL Burger mit Twister (2,3,8,9,16,A,C,G,J,K,AA)",R,0.0,0.0,0.0
2018-01-04,Do,B1,"Bio-Fusilli (A,AA)","B,VG",0.8,1.0,1.5
2018-01-04,Do,HG2,"Kaiserschmarrn (3,C,G,AA)",V,2.5,3.1,4.2
2018-01-04,Do,N1,"Pudding mit Vanillegeschmack und Heidelbeeren (1,16,G)","V,A",0.8,1.0,1.5
2018-01-04,Do,HG3,"Putensteak a la Caprese mit Bio Farfalle (3,A,C,G,AA)",G,3.8,4.8,5.3
2018-01-04,Do,B4,Rosmarinkartoffel,VG,1.0,1.1,1.6
2018-01-04,Do,B5,"Salat Buffet (1,3,4,5,6,9,16,A,C,G,H,J,L,AA)",V,3.0,3.5,4.2
2018-01-04,Do,B3,"Salatmix III (3)Tomatensalat (3,16)Kohlrabirohkost (3,9,C,G,H,J,HB)",V,0.9,1.1,1.6
2018-01-04,Do,N2,"Tiramisu A (1,3,8,14,A,C,G,AA)",V,1.1,1.4,1.6
2018-01-04,Do,Suppe,"Tomatensuppe (3,G,I)",V,0.7,0.9,1.4
2018-01-04,Do,HG1,"Veganer Pichelsteiner und Brot (3,A,G,I,L,AA,AB)","VG,V",2.0,2.8,3.6
2018-01-04,Do,B2,"Wirsinggemüse (3,A,G,I,AA)",V,0.8,1.0,1.5
2018-01-05,Fr,N2,"Chocolat de Coco (F,G)",V,1.1,1.4,1.6
2018-01-05,Fr,B3,"Kartoffelsalat (3,I,J)",VG,1.0,1.1,1.6
2018-01-05,Fr,N1,"Mandelpudding mit Mango (1,G)",V,0.8,1.0,1.5
2018-01-05,Fr,Suppe,"Meerrettichsuppe (3,5,9,16,A,G,I,AA)",V,0.7,0.9,1.4
2018-01-05,Fr,HG2,"Pasta Asciutta (3,A,C,G,I,AA)","S,R",2.8,3.4,4.4
2018-01-05,Fr,B1,Petersilienkartoffeln (5),VG,0.7,0.9,1.4
2018-01-05,Fr,B4,"Ratatouille (3,I)",VG,1.0,1.1,1.6
2018-01-05,Fr,B5,"Salat Buffet (1,3,4,5,6,9,16,A,C,G,H,J,L,AA)",V,3.0,3.5,4.2
